x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.00107,-3.50862e-05,0.998586,1,0
0.00976562,0.0292969,1.00088,-7.96325e-05,0.998588,1,0
0.0292969,0.00976562,1.00133,-3.53004e-05,0.996191,1,0
0.0292969,0.0292969,1.00115,-7.97278e-05,0.996194,1,0
0.00976562,0.0488281,1.00074,-0.000111849,0.998588,1,0
0.00976562,0.0683594,1.00058,-0.000151318,0.998589,1,0
0.0292969,0.0488281,1.001,-0.0001117,0.996193,1,0
0.0292969,0.0683594,1.00085,-0.000151148,0.996193,1,0
0.0488281,0.00976562,1.00131,-3.53125e-05,0.994334,1,0
0.0488281,0.0292969,1.00113,-7.9441e-05,0.994336,1,0
0.0683594,0.00976562,1.00128,-3.51662e-05,0.992452,1,0
0.0683594,0.0292969,1.0011,-7.88292e-05,0.992453,1,0
0.0488281,0.0488281,1.00098,-0.000111096,0.994335,1,0
0.0488281,0.0683594,1.00083,-0.000150344,0.994335,1,0
0.0683594,0.0488281,1.00096,-0.000110085,0.992452,1,0
0.0683594,0.0683594,1.0008,-0.000148993,0.992451,1,0
0.00976562,0.0878906,1.00041,-0.000188283,0.998589,1,0
0.00976562,0.107422,1.0002,-0.000227782,0.99859,1,0
0.0292969,0.0878906,1.00068,-0.000188003,0.996193,1,0
0.0292969,0.107422,1.00047,-0.000227458,0.996193,1,0
0.00976562,0.126953,0.999934,-0.00026765,0.99859,1,0
0.00976562,0.146484,0.999568,-0.0003092,0.998591,1,0
0.0292969,0.126953,1.0002,-0.000267271,0.996193,1,0
0.0292969,0.146484,0.999838,-0.000308803,0.996194,1,0
0.0488281,0.0878906,1.00066,-0.000186921,0.994334,1,0
0.0488281,0.107422,1.00045,-0.000226163,0.994333,1,0
0.0683594,0.0878906,1.00064,-0.000185156,0.99245,1,0
0.0683594,0.107422,1.00043,-0.000224039,0.992449,1,0
0.0488281,0.126953,1.00019,-0.000265756,0.994332,1,0
0.0488281,0.146484,0.999825,-0.000307107,0.994331,1,0
0.0683594,0.126953,1.00017,-0.000263248,0.992447,1,0
0.0683594,0.146484,0.999804,-0.000304238,0.992445,1,0
0.0878906,0.00976562,1.00132,-3.49416e-05,0.990446,1,0
0.0878906,0.0292969,1.00115,-7.80158e-05,0.990448,1,0
0.107422,0.00976562,1.00137,-3.46315e-05,0.988438,1,0
0.107422,0.0292969,1.0012,-7.69977e-05,0.988439,1,0
0.0878906,0.0488281,1.001,-0.00010878,0.990446,1,0
0.0878906,0.0683594,1.00085,-0.000147245,0.990445,1,0
0.107422,0.0488281,1.00105,-0.000107189,0.988437,1,0
0.107422,0.0683594,1.0009,-0.000145107,0.988436,1,0
0.126953,0.00976562,1.00141,-3.42146e-05,0.986457,1,0
0.126953,0.0292969,1.00123,-7.5747e-05,0.986459,1,0
0.146484,0.00976562,1.00143,-3.36832e-05,0.984481,1,0
0.146484,0.0292969,1.00126,-7.42615e-05,0.984482,1,0
0.126953,0.0488281,1.00109,-0.000105291,0.986456,1,0
0.126953,0.0683594,1.00093,-0.000142557,0.986455,1,0
0.146484,0.0488281,1.00112,-0.000103095,0.984479,1,0
0.146484,0.0683594,1.00097,-0.000139609,0.984478,1,0
0.0878906,0.0878906,1.00068,-0.000182891,0.990443,1,0
0.0878906,0.107422,1.00048,-0.0002213,0.990441,1,0
0.107422,0.0878906,1.00073,-0.000180131,0.988433,1,0
0.107422,0.107422,1.00053,-0.000217956,0.988431,1,0
0.0878906,0.126953,1.00021,-0.000259993,0.990439,1,0
0.0878906,0.146484,0.999852,-0.000300471,0.990436,1,0
0.107422,0.126953,1.00027,-0.000256006,0.988428,1,0
0.107422,0.146484,0.999908,-0.000295831,0.988424,1,0
0.126953,0.0878906,1.00077,-0.000176857,0.986452,1,0
0.126953,0.107422,1.00057,-0.000213982,0.986449,1,0
0.146484,0.0878906,1.0008,-0.00017309,0.984474,1,0
0.146484,0.107422,1.0006,-0.000209411,0.984471,1,0
0.126953,0.126953,1.00031,-0.000251265,0.986445,1,0
0.126953,0.146484,0.999948,-0.0002903,0.986441,1,0
0.146484,0.126953,1.00034,-0.00024581,0.984466,1,0
0.146484,0.146484,0.999983,-0.000283925,0.984461,1,0
0.00976562,0.166016,0.999046,-0.000352041,0.998592,1,0
0.00976562,0.185547,0.998273,-0.000396577,0.998593,1,0
0.0292969,0.166016,0.999317,-0.000351655,0.996194,1,0
0.0292969,0.185547,0.998546,-0.000396263,0.996194,1,0
0.00976562,0.205078,0.9971,-0.000442777,0.998594,1,0
0.00976562,0.224609,0.995291,-0.000490747,0.998596,1,0
0.0292969,0.205078,0.997374,-0.000442622,0.996195,1,0
0.0292969,0.224609,0.995566,-0.000490885,0.996196,1,0
0.0488281,0.166016,0.999306,-0.000349816,0.99433,1,0
0.0488281,0.185547,0.998537,-0.000394352,0.994328,1,0
0.0683594,0.166016,0.999287,-0.000346596,0.992442,1,0
0.0683594,0.185547,0.99852,-0.000390811,0.992439,1,0
0.0488281,0.205078,0.997367,-0.000440742,0.994327,1,0
0.0488281,0.224609,0.995562,-0.000489197,0.994326,1,0
0.0683594,0.205078,0.997352,-0.000436924,0.992436,1,0
0.0683594,0.224609,0.995549,-0.00048517,0.992433,1,0
0.00976562,0.244141,0.992486,-0.0005404,0.998597,1,0
0.00976562,0.263672,0.988153,-0.000591587,0.998599,1,0
0.0292969,0.244141,0.992763,-0.000541033,0.996197,1,0
0.0292969,0.263672,0.988431,-0.000593008,0.996199,1,0
0.00976562,0.283203,0.981516,-0.000643889,0.998602,1,0
0.00976562,0.302734,0.971484,-0.000696723,0.998605,1,0
0.0292969,0.283203,0.981794,-0.000646527,0.996203,1,0
0.0292969,0.302734,0.97176,-0.000701203,0.996208,1,0
0.0488281,0.244141,0.992761,-0.000539771,0.994325,1,0
0.0488281,0.263672,0.98843,-0.000592511,0.994324,1,0
0.0683594,0.244141,0.99275,-0.000535631,0.992429,1,0
0.0683594,0.263672,0.988422,-0.000588391,0.992426,1,0
0.0488281,0.283203,0.981795,-0.000647274,0.994324,1,0
0.0488281,0.302734,0.971763,-0.000703862,0.994326,1,0
0.0683594,0.283203,0.98179,-0.000643343,0.992422,1,0
0.0683594,0.302734,0.97176,-0.000700317,0.992417,1,0
0.0878906,0.166016,0.999337,-0.000342292,0.990433,1,0
0.0878906,0.185547,0.998572,-0.000385959,0.990429,1,0
0.107422,0.166016,0.999394,-0.000336954,0.98842,1,0
0.107422,0.185547,0.998631,-0.00037988,0.988415,1,0
0.0878906,0.205078,0.997406,-0.000431502,0.990424,1,0
0.0878906,0.224609,0.995605,-0.000479155,0.990419,1,0
0.107422,0.205078,0.997467,-0.000424623,0.988409,1,0
0.107422,0.224609,0.995668,-0.000471402,0.988402,1,0
0.126953,0.166016,0.999435,-0.000330566,0.986435,1,0
0.126953,0.185547,0.998674,-0.000372574,0.986429,1,0
0.146484,0.166016,0.999473,-0.000323188,0.984455,1,0
0.146484,0.185547,0.998713,-0.000364108,0.984448,1,0
0.126953,0.205078,0.997512,-0.000416307,0.986422,1,0
0.126953,0.224609,0.995715,-0.000461969,0.986414,1,0
0.146484,0.205078,0.997553,-0.000406636,0.984439,1,0
0.146484,0.224609,0.995758,-0.00045095,0.98443,1,0
0.0878906,0.244141,0.992809,-0.000528987,0.990414,1,0
0.0878906,0.263672,0.988483,-0.000581066,0.990407,1,0
0.107422,0.244141,0.992874,-0.000520259,0.988395,1,0
0.107422,0.263672,0.988551,-0.000571224,0.988387,1,0
0.0878906,0.283203,0.981853,-0.000635238,0.9904,1,0
0.0878906,0.302734,0.971825,-0.000691266,0.990392,1,0
0.107422,0.283203,0.981922,-0.000624084,0.988377,1,0
0.107422,0.302734,0.971895,-0.000678514,0.988366,1,0
0.126953,0.244141,0.992923,-0.000509564,0.986405,1,0
