x,y,ux,uy,p,cs,f
0.00976562,0.00976562,0.992979,-4.96295e-05,0.998623,1,0
0.00976562,0.0292969,0.992389,-0.000122832,0.998629,1,0
0.0292969,0.00976562,0.993244,-5.04791e-05,0.996235,1,0
0.0292969,0.0292969,0.992657,-0.000123845,0.996243,1,0
0.00976562,0.0488281,0.991298,-0.000178076,0.998628,1,0
0.00976562,0.0683594,0.989626,-0.000239626,0.998629,1,0
0.0292969,0.0488281,0.991565,-0.000178643,0.996242,1,0
0.0292969,0.0683594,0.989894,-0.000240501,0.996244,1,0
0.0488281,0.00976562,0.993256,-5.11092e-05,0.994345,1,0
0.0488281,0.0292969,0.992674,-0.000124569,0.994353,1,0
0.0683594,0.00976562,0.993257,-5.15424e-05,0.992452,1,0
0.0683594,0.0292969,0.992677,-0.000124913,0.992459,1,0
0.0488281,0.0488281,0.991582,-0.000179081,0.994351,1,0
0.0488281,0.0683594,0.98991,-0.000241207,0.994353,1,0
0.0683594,0.0488281,0.991585,-0.000179056,0.992457,1,0
0.0683594,0.0683594,0.989915,-0.000241243,0.992458,1,0
0.00976562,0.0878906,0.987282,-0.000299904,0.99863,1,0
0.00976562,0.107422,0.984131,-0.000360698,0.998632,1,0
0.0292969,0.0878906,0.987549,-0.000300994,0.996246,1,0
0.0292969,0.107422,0.984398,-0.000362112,0.996248,1,0
0.00976562,0.126953,0.980004,-0.000421567,0.998633,1,0
0.00976562,0.146484,0.974683,-0.00048246,0.998635,1,0
0.0292969,0.126953,0.98027,-0.000423382,0.996251,1,0
0.0292969,0.146484,0.974949,-0.000484779,0.996255,1,0
0.0488281,0.0878906,0.987566,-0.000301839,0.994354,1,0
0.0488281,0.107422,0.984416,-0.000363239,0.994356,1,0
0.0683594,0.0878906,0.987571,-0.000301791,0.992458,1,0
0.0683594,0.107422,0.984421,-0.000363226,0.992459,1,0
0.0488281,0.126953,0.980288,-0.000424886,0.994358,1,0
0.0488281,0.146484,0.974967,-0.000486783,0.99436,1,0
0.0683594,0.126953,0.980294,-0.000424954,0.992459,1,0
0.0683594,0.146484,0.974973,-0.000487004,0.99246,1,0
0.0878906,0.00976562,0.993318,-5.19247e-05,0.990448,1,0
0.0878906,0.0292969,0.992741,-0.000125094,0.990455,1,0
0.107422,0.00976562,0.993388,-5.22267e-05,0.988434,1,0
0.107422,0.0292969,0.992813,-0.000125115,0.988441,1,0
0.0878906,0.0488281,0.991649,-0.00017871,0.990453,1,0
0.0878906,0.0683594,0.989979,-0.000240772,0.990453,1,0
0.107422,0.0488281,0.991722,-0.000178134,0.988439,1,0
0.107422,0.0683594,0.990053,-0.000239953,0.988439,1,0
0.126953,0.00976562,0.993446,-5.23917e-05,0.986445,1,0
0.126953,0.0292969,0.992872,-0.000124893,0.986452,1,0
0.146484,0.00976562,0.9935,-5.23966e-05,0.98446,1,0
0.146484,0.0292969,0.992928,-0.000124383,0.984467,1,0
