x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.0015,-3.25045e-05,0.998581,1,0
0.00976562,0.0292969,1.0013,-7.21019e-05,0.998583,1,0
0.0292969,0.00976562,1.00176,-3.26416e-05,0.996186,1,0
0.0292969,0.0292969,1.00156,-7.20968e-05,0.996188,1,0
0.00976562,0.0488281,1.00117,-0.000100669,0.998582,1,0
0.00976562,0.0683594,1.00104,-0.000136309,0.998583,1,0
0.0292969,0.0488281,1.00143,-0.000100439,0.996187,1,0
0.0292969,0.0683594,1.0013,-0.000136013,0.996187,1,0
0.0488281,0.00976562,1.00174,-3.25766e-05,0.994335,1,0
0.0488281,0.0292969,1.00154,-7.16839e-05,0.994336,1,0
0.0683594,0.00976562,1.0017,-3.23396e-05,0.992454,1,0
0.0683594,0.0292969,1.00151,-7.09123e-05,0.992455,1,0
0.0488281,0.0488281,1.0014,-9.96868e-05,0.994334,1,0
0.0488281,0.0683594,1.00128,-0.000134995,0.994334,1,0
0.0683594,0.0488281,1.00137,-9.84787e-05,0.992453,1,0
0.0683594,0.0683594,1.00125,-0.000133368,0.992452,1,0
0.00976562,0.0878906,1.00092,-0.000169201,0.998583,1,0
0.00976562,0.107422,1.00079,-0.000204939,0.998584,1,0
0.0292969,0.0878906,1.00119,-0.000168766,0.996187,1,0
0.0292969,0.107422,1.00105,-0.000204415,0.996187,1,0
0.00976562,0.126953,1.00063,-0.000240815,0.998584,1,0
0.00976562,0.146484,1.00045,-0.000278582,0.998585,1,0
0.0292969,0.126953,1.0009,-0.000240181,0.996187,1,0
0.0292969,0.146484,1.00071,-0.000277858,0.996186,1,0
0.0488281,0.0878906,1.00116,-0.000167418,0.994333,1,0
0.0488281,0.107422,1.00103,-0.000202782,0.994332,1,0
0.0683594,0.0878906,1.00113,-0.000165318,0.99245,1,0
0.0683594,0.107422,1.001,-0.000200237,0.992449,1,0
0.0488281,0.126953,1.00088,-0.00023824,0.99433,1,0
0.0488281,0.146484,1.0007,-0.000275625,0.994329,1,0
0.0683594,0.126953,1.00085,-0.000235217,0.992446,1,0
0.0683594,0.146484,1.00067,-0.000272126,0.992443,1,0
0.0878906,0.00976562,1.00174,-3.19956e-05,0.990448,1,0
0.0878906,0.0292969,1.00155,-6.98895e-05,0.990449,1,0
0.107422,0.00976562,1.00179,-3.1541e-05,0.988441,1,0
0.107422,0.0292969,1.00159,-6.86177e-05,0.988441,1,0
0.0878906,0.0488281,1.00141,-9.69279e-05,0.990447,1,0
0.0878906,0.0683594,1.00129,-0.000131284,0.990446,1,0
0.107422,0.0488281,1.00146,-9.50427e-05,0.988439,1,0
0.107422,0.0683594,1.00134,-0.000128751,0.988438,1,0
0.126953,0.00976562,1.00182,-3.09602e-05,0.986463,1,0
0.126953,0.0292969,1.00162,-6.70781e-05,0.986463,1,0
0.146484,0.00976562,1.00184,-3.02487e-05,0.984488,1,0
0.146484,0.0292969,1.00165,-6.52749e-05,0.984488,1,0
0.126953,0.0488281,1.00149,-9.28113e-05,0.98646,1,0
0.126953,0.0683594,1.00137,-0.000125754,0.986458,1,0
0.146484,0.0488281,1.00152,-9.02499e-05,0.984485,1,0
0.146484,0.0683594,1.00139,-0.000122318,0.984483,1,0
0.0878906,0.0878906,1.00117,-0.000162647,0.990444,1,0
0.0878906,0.107422,1.00104,-0.000196999,0.990441,1,0
0.107422,0.0878906,1.00122,-0.000159412,0.988435,1,0
0.107422,0.107422,1.00109,-0.000193074,0.988432,1,0
0.0878906,0.126953,1.0009,-0.000231362,0.990438,1,0
0.0878906,0.146484,1.00071,-0.000267641,0.990434,1,0
0.107422,0.126953,1.00095,-0.000226683,0.988428,1,0
0.107422,0.146484,1.00077,-0.000262182,0.988423,1,0
0.126953,0.0878906,1.00125,-0.000155604,0.986455,1,0
0.126953,0.107422,1.00113,-0.000188452,0.986451,1,0
0.146484,0.0878906,1.00128,-0.000151258,0.984479,1,0
0.146484,0.107422,1.00115,-0.000183181,0.984475,1,0
0.126953,0.126953,1.00098,-0.000221172,0.986447,1,0
0.126953,0.146484,1.0008,-0.000255744,0.986441,1,0
0.146484,0.126953,1.00101,-0.000214891,0.984469,1,0
0.146484,0.146484,1.00083,-0.000248399,0.984463,1,0
0.00976562,0.166016,1.0002,-0.000317586,0.998586,1,0
0.00976562,0.185547,0.999866,-0.000358463,0.998587,1,0
0.0292969,0.166016,1.00047,-0.000316777,0.996186,1,0
0.0292969,0.185547,1.00014,-0.0003576,0.996186,1,0
0.00976562,0.205078,0.99937,-0.000401126,0.998588,1,0
0.00976562,0.224609,0.998592,-0.000445865,0.998589,1,0
