x,y,ux,uy,p,cs,f
0.00976562,0.00976562,0.766596,-3.68471e-05,0.998794,1,0
0.00976562,0.0292969,0.764608,-0.000100596,0.998804,1,0
0.0292969,0.00976562,0.766758,-3.81676e-05,0.996562,1,0
0.0292969,0.0292969,0.764773,-0.000102769,0.996577,1,0
0.00976562,0.0488281,0.760648,-0.000153894,0.998804,1,0
0.00976562,0.0683594,0.7547,-0.00020663,0.998804,1,0
0.0292969,0.0488281,0.760813,-0.000155466,0.996579,1,0
0.0292969,0.0683594,0.754863,-0.00020829,0.99658,1,0
0.0488281,0.00976562,0.766792,-3.91722e-05,0.994616,1,0
0.0488281,0.0292969,0.76481,-0.000104589,0.994631,1,0
0.0683594,0.00976562,0.766816,-3.97652e-05,0.992699,1,0
0.0683594,0.0292969,0.764836,-0.000105656,0.992714,1,0
0.0488281,0.0488281,0.760849,-0.000157027,0.994633,1,0
0.0488281,0.0683594,0.754899,-0.000209943,0.994634,1,0
0.0683594,0.0488281,0.760876,-0.000157854,0.992715,1,0
0.0683594,0.0683594,0.754925,-0.000210636,0.992716,1,0
0.00976562,0.0878906,0.746743,-0.000258474,0.998805,1,0
0.00976562,0.107422,0.736746,-0.000308356,0.998806,1,0
0.0292969,0.0878906,0.746903,-0.000260614,0.996583,1,0
0.0292969,0.107422,0.736903,-0.000311009,0.996587,1,0
0.00976562,0.126953,0.724675,-0.000355769,0.998808,1,0
0.00976562,0.146484,0.710486,-0.000400239,0.998809,1,0
0.0292969,0.126953,0.724827,-0.000358936,0.996592,1,0
0.0292969,0.146484,0.710634,-0.000403941,0.996597,1,0
0.0488281,0.0878906,0.746937,-0.000262632,0.994637,1,0
0.0488281,0.107422,0.736934,-0.000313434,0.994641,1,0
0.0683594,0.0878906,0.746961,-0.000263329,0.992717,1,0
0.0683594,0.107422,0.736957,-0.000314165,0.992719,1,0
0.0488281,0.126953,0.724856,-0.000361774,0.994645,1,0
0.0488281,0.146484,0.710659,-0.00040719,0.99465,1,0
0.0683594,0.126953,0.724877,-0.000362532,0.992722,1,0
0.0683594,0.146484,0.710677,-0.000407943,0.992725,1,0
0.0878906,0.00976562,0.766868,-4.01379e-05,0.990733,1,0
0.0878906,0.0292969,0.764888,-0.00010627,0.990748,1,0
0.107422,0.00976562,0.766926,-4.03399e-05,0.988753,1,0
0.107422,0.0292969,0.764946,-0.000106542,0.988768,1,0
0.0878906,0.0488281,0.760928,-0.000158144,0.990749,1,0
0.0878906,0.0683594,0.754977,-0.000210593,0.990749,1,0
0.107422,0.0488281,0.760987,-0.000158068,0.988769,1,0
0.107422,0.0683594,0.755034,-0.000210096,0.988768,1,0
0.126953,0.00976562,0.76698,-4.03719e-05,0.98678,1,0
0.126953,0.0292969,0.765001,-0.000106453,0.986795,1,0
0.146484,0.00976562,0.767032,-4.0246e-05,0.984811,1,0
0.146484,0.0292969,0.765053,-0.000106001,0.984826,1,0
0.126953,0.0488281,0.761041,-0.000157593,0.986795,1,0
0.126953,0.0683594,0.755088,-0.000209133,0.986795,1,0
0.146484,0.0488281,0.761093,-0.000156673,0.984826,1,0
0.146484,0.0683594,0.755139,-0.000207639,0.984825,1,0
0.0878906,0.0878906,0.747012,-0.000263027,0.990749,1,0
0.0878906,0.107422,0.737006,-0.000313624,0.990751,1,0
0.107422,0.0878906,0.747068,-0.000262127,0.988769,1,0
0.107422,0.107422,0.73706,-0.00031232,0.98877,1,0
0.0878906,0.126953,0.724923,-0.000361735,0.990752,1,0
0.0878906,0.146484,0.71072,-0.000406842,0.990754,1,0
0.107422,0.126953,0.724974,-0.000359997,0.988771,1,0
0.107422,0.146484,0.710768,-0.000404607,0.988772,1,0
0.126953,0.0878906,0.74712,-0.000260643,0.986795,1,0
0.126953,0.107422,0.737109,-0.000310286,0.986795,1,0
0.146484,0.0878906,0.747169,-0.000258506,0.984825,1,0
0.146484,0.107422,0.737157,-0.000307453,0.984825,1,0
0.126953,0.126953,0.725021,-0.000357366,0.986796,1,0
