x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.00264,-2.79429e-05,0.998571,1,0
0.00976562,0.0292969,1.00238,-5.88684e-05,0.998572,1,0
0.0292969,0.00976562,1.00291,-2.79764e-05,0.996173,1,0
0.0292969,0.0292969,1.00264,-5.87377e-05,0.996173,1,0
0.00976562,0.0488281,1.00226,-8.14149e-05,0.998572,1,0
0.00976562,0.0683594,1.00217,-0.000110338,0.998572,1,0
0.0292969,0.0488281,1.00252,-8.10833e-05,0.996173,1,0
0.0292969,0.0683594,1.00243,-0.000109883,0.996173,1,0
0.0488281,0.00976562,1.00287,-2.78143e-05,0.994327,1,0
0.0488281,0.0292969,1.00261,-5.81666e-05,0.994327,1,0
0.0683594,0.00976562,1.00283,-2.74588e-05,0.992446,1,0
0.0683594,0.0292969,1.00257,-5.71828e-05,0.992446,1,0
0.0488281,0.0488281,1.00248,-8.0138e-05,0.994326,1,0
0.0488281,0.0683594,1.0024,-0.000108594,0.994325,1,0
0.0683594,0.0488281,1.00244,-7.86616e-05,0.992445,1,0
0.0683594,0.0683594,1.00236,-0.000106608,0.992443,1,0
0.00976562,0.0878906,1.0021,-0.000136267,0.998572,1,0
0.00976562,0.107422,1.00203,-0.000165582,0.998573,1,0
0.0292969,0.0878906,1.00237,-0.000135652,0.996172,1,0
0.0292969,0.107422,1.0023,-0.000164839,0.996172,1,0
0.00976562,0.126953,1.00196,-0.000194457,0.998573,1,0
0.00976562,0.146484,1.00188,-0.000225727,0.998574,1,0
0.0292969,0.126953,1.00223,-0.000193566,0.996171,1,0
0.0292969,0.146484,1.00215,-0.000224699,0.99617,1,0
0.0488281,0.0878906,1.00233,-0.000133993,0.994324,1,0
0.0488281,0.107422,1.00227,-0.00016283,0.994322,1,0
0.0683594,0.0878906,1.0023,-0.000131476,0.992441,1,0
0.0683594,0.107422,1.00223,-0.00015979,0.992439,1,0
0.0488281,0.126953,1.0022,-0.000191189,0.99432,1,0
0.0488281,0.146484,1.00212,-0.000221955,0.994318,1,0
0.0683594,0.126953,1.00216,-0.000187598,0.992436,1,0
0.0683594,0.146484,1.00208,-0.000217808,0.992432,1,0
0.0878906,0.00976562,1.00286,-2.69467e-05,0.990438,1,0
0.0878906,0.0292969,1.0026,-5.58641e-05,0.990438,1,0
0.107422,0.00976562,1.0029,-2.62749e-05,0.98843,1,0
0.107422,0.0292969,1.00264,-5.42129e-05,0.98843,1,0
0.0878906,0.0488281,1.00248,-7.67586e-05,0.990436,1,0
0.0878906,0.0683594,1.00239,-0.000104062,0.990434,1,0
0.107422,0.0488281,1.00252,-7.44318e-05,0.988427,1,0
0.107422,0.0683594,1.00243,-0.000100951,0.988425,1,0
0.126953,0.00976562,1.00292,-2.54309e-05,0.986453,1,0
0.126953,0.0292969,1.00266,-5.22145e-05,0.986452,1,0
0.146484,0.00976562,1.00294,-2.44094e-05,0.984478,1,0
0.146484,0.0292969,1.00268,-4.98724e-05,0.984477,1,0
0.126953,0.0488281,1.00254,-7.16701e-05,0.986449,1,0
0.126953,0.0683594,1.00246,-9.72622e-05,0.986446,1,0
0.146484,0.0488281,1.00256,-6.84895e-05,0.984474,1,0
0.146484,0.0683594,1.00248,-9.30212e-05,0.98447,1,0
0.0878906,0.0878906,1.00233,-0.00012827,0.990432,1,0
0.0878906,0.107422,1.00227,-0.000155921,0.990428,1,0
0.107422,0.0878906,1.00237,-0.00012437,0.988422,1,0
0.107422,0.107422,1.00231,-0.000151218,0.988418,1,0
0.0878906,0.126953,1.0022,-0.00018303,0.990424,1,0
0.0878906,0.146484,1.00212,-0.000212525,0.99042,1,0
0.107422,0.126953,1.00224,-0.000177477,0.988413,1,0
0.107422,0.146484,1.00217,-0.000206093,0.988407,1,0
0.126953,0.0878906,1.0024,-0.000119767,0.986442,1,0
0.126953,0.107422,1.00233,-0.000145668,0.986437,1,0
0.146484,0.0878906,1.00242,-0.000114498,0.984466,1,0
0.146484,0.107422,1.00236,-0.000139319,0.98446,1,0
0.126953,0.126953,1.00227,-0.000170925,0.986431,1,0
0.126953,0.146484,1.00219,-0.000198497,0.986425,1,0
0.146484,0.126953,1.00229,-0.000163433,0.984453,1,0
0.146484,0.146484,1.00222,-0.000189807,0.984446,1,0
0.00976562,0.166016,1.00179,-0.0002578,0.998574,1,0
0.00976562,0.185547,1.00168,-0.000292157,0.998575,1,0
0.0292969,0.166016,1.00205,-0.000256626,0.996169,1,0
0.0292969,0.185547,1.00195,-0.000290845,0.996168,1,0
0.00976562,0.205078,1.00155,-0.00032796,0.998575,1,0
0.00976562,0.224609,1.0014,-0.000366394,0.998576,1,0
0.0292969,0.205078,1.00183,-0.000326517,0.996167,1,0
0.0292969,0.224609,1.00168,-0.000364852,0.996166,1,0
0.0488281,0.166016,1.00203,-0.000253505,0.994315,1,0
0.0488281,0.185547,1.00192,-0.000287352,0.994311,1,0
0.0683594,0.166016,1.00199,-0.000248781,0.992428,1,0
0.0683594,0.185547,1.00189,-0.000282046,0.992423,1,0
0.0488281,0.205078,1.0018,-0.000322662,0.994308,1,0
0.0488281,0.224609,1.00166,-0.000360678,0.994304,1,0
0.0683594,0.205078,1.00177,-0.000316769,0.992418,1,0
0.0683594,0.224609,1.00163,-0.000354223,0.992412,1,0
0.00976562,0.244141,1.0012,-0.000406508,0.998577,1,0
0.00976562,0.263672,1.00091,-0.000449984,0.998577,1,0
0.0292969,0.244141,1.00148,-0.000404915,0.996164,1,0
0.0292969,0.263672,1.00119,-0.000448457,0.996163,1,0
0.00976562,0.283203,1.0004,-0.000494771,0.998578,1,0
0.00976562,0.302734,0.999441,-0.000544201,0.998579,1,0
0.0292969,0.283203,1.00068,-0.000493494,0.996162,1,0
0.0292969,0.302734,0.999726,-0.000543559,0.996161,1,0
0.0488281,0.244141,1.00146,-0.000400498,0.9943,1,0
0.0488281,0.263672,1.00117,-0.000443962,0.994295,1,0
0.0683594,0.244141,1.00144,-0.000393529,0.992405,1,0
0.0683594,0.263672,1.00115,-0.000436597,0.992398,1,0
0.0488281,0.283203,1.00067,-0.000489196,0.994291,1,0
0.0488281,0.302734,0.99972,-0.00053998,0.994287,1,0
0.0683594,0.283203,1.00066,-0.000481619,0.992391,1,0
0.0683594,0.302734,0.999707,-0.00053253,0.992383,1,0
0.0878906,0.166016,1.00203,-0.000242746,0.990414,1,0
0.0878906,0.185547,1.00194,-0.000275236,0.990408,1,0
0.107422,0.166016,1.00208,-0.000235381,0.9884,1,0
0.107422,0.185547,1.00198,-0.000266894,0.988393,1,0
0.0878906,0.205078,1.00182,-0.000309155,0.990401,1,0
0.0878906,0.224609,1.00168,-0.000345792,0.990394,1,0
0.107422,0.205078,1.00187,-0.000299775,0.988384,1,0
0.107422,0.224609,1.00173,-0.000335323,0.988375,1,0
0.126953,0.166016,1.00211,-0.000226669,0.986417,1,0
0.126953,0.185547,1.00201,-0.000257,0.986408,1,0
0.146484,0.166016,1.00214,-0.000216691,0.984437,1,0
0.146484,0.185547,1.00204,-0.000245648,0.984426,1,0
