x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.00287,-2.72792e-05,0.99857,1,0
0.00976562,0.0292969,1.00259,-5.70194e-05,0.99857,1,0
0.0292969,0.00976562,1.00313,-2.73064e-05,0.99617,1,0
0.0292969,0.0292969,1.00285,-5.6888e-05,0.996171,1,0
0.00976562,0.0488281,1.00247,-7.87769e-05,0.99857,1,0
0.00976562,0.0683594,1.00238,-0.00010676,0.998571,1,0
0.0292969,0.0488281,1.00273,-7.84525e-05,0.99617,1,0
0.0292969,0.0683594,1.00265,-0.000106313,0.99617,1,0
0.0488281,0.00976562,1.00309,-2.71441e-05,0.994325,1,0
0.0488281,0.0292969,1.00281,-5.63249e-05,0.994325,1,0
0.0683594,0.00976562,1.00305,-2.67911e-05,0.992444,1,0
0.0683594,0.0292969,1.00277,-5.53539e-05,0.992444,1,0
0.0488281,0.0488281,1.00269,-7.75219e-05,0.994324,1,0
0.0488281,0.0683594,1.00261,-0.000105044,0.994323,1,0
0.0683594,0.0488281,1.00265,-7.6067e-05,0.992442,1,0
0.0683594,0.0683594,1.00257,-0.000103089,0.992441,1,0
0.00976562,0.0878906,1.00232,-0.000131745,0.998571,1,0
0.00976562,0.107422,1.00226,-0.000160172,0.998571,1,0
0.0292969,0.0878906,1.00259,-0.000131144,0.99617,1,0
0.0292969,0.107422,1.00252,-0.000159447,0.996169,1,0
0.00976562,0.126953,1.00219,-0.000188055,0.998571,1,0
0.00976562,0.146484,1.00211,-0.000218422,0.998572,1,0
0.0292969,0.126953,1.00246,-0.000187189,0.996168,1,0
0.0292969,0.146484,1.00238,-0.000217425,0.996168,1,0
0.0488281,0.0878906,1.00255,-0.000129516,0.994321,1,0
0.0488281,0.107422,1.00249,-0.00015748,0.99432,1,0
0.0683594,0.0878906,1.00251,-0.000127044,0.992439,1,0
0.0683594,0.107422,1.00245,-0.0001545,0.992436,1,0
0.0488281,0.126953,1.00242,-0.000184866,0.994318,1,0
0.0488281,0.146484,1.00235,-0.000214752,0.994315,1,0
0.0683594,0.126953,1.00239,-0.000181355,0.992433,1,0
0.0683594,0.146484,1.00231,-0.000210708,0.99243,1,0
