x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.00306,-2.66769e-05,0.998568,1,0
0.00976562,0.0292969,1.00277,-5.53871e-05,0.998569,1,0
0.0292969,0.00976562,1.00332,-2.6701e-05,0.996168,1,0
0.0292969,0.0292969,1.00304,-5.52607e-05,0.996168,1,0
0.00976562,0.0488281,1.00265,-7.64595e-05,0.998569,1,0
0.00976562,0.0683594,1.00257,-0.000103614,0.998569,1,0
0.0292969,0.0488281,1.00292,-7.61489e-05,0.996168,1,0
0.0292969,0.0683594,1.00284,-0.000103184,0.996168,1,0
0.0488281,0.00976562,1.00328,-2.6543e-05,0.994323,1,0
0.0488281,0.0292969,1.003,-5.47151e-05,0.994323,1,0
0.0683594,0.00976562,1.00324,-2.61988e-05,0.992441,1,0
0.0683594,0.0292969,1.00296,-5.37709e-05,0.992441,1,0
0.0488281,0.0488281,1.00288,-7.52464e-05,0.994322,1,0
0.0488281,0.0683594,1.0028,-0.000101954,0.994321,1,0
0.0683594,0.0488281,1.00284,-7.38323e-05,0.99244,1,0
0.0683594,0.0683594,1.00276,-0.000100056,0.992438,1,0
0.00976562,0.0878906,1.00252,-0.000127774,0.998569,1,0
0.00976562,0.107422,1.00245,-0.000155416,0.99857,1,0
0.0292969,0.0878906,1.00278,-0.000127198,0.996167,1,0
0.0292969,0.107422,1.00272,-0.000154723,0.996167,1,0
0.00976562,0.126953,1.00239,-0.000182416,0.99857,1,0
0.00976562,0.146484,1.00231,-0.000211981,0.998571,1,0
0.0292969,0.126953,1.00265,-0.00018159,0.996166,1,0
0.0292969,0.146484,1.00257,-0.000211035,0.996166,1,0
0.0488281,0.0878906,1.00274,-0.000125623,0.99432,1,0
0.0488281,0.107422,1.00268,-0.000152824,0.994318,1,0
0.0683594,0.0878906,1.0027,-0.000123228,0.992436,1,0
0.0683594,0.107422,1.00264,-0.000149941,0.992434,1,0
0.0488281,0.126953,1.00262,-0.000179353,0.994316,1,0
0.0488281,0.146484,1.00254,-0.000208468,0.994314,1,0
0.0683594,0.126953,1.00258,-0.000175965,0.992431,1,0
0.0683594,0.146484,1.0025,-0.000204575,0.992428,1,0
0.0878906,0.00976562,1.00327,-2.56992e-05,0.990432,1,0
0.0878906,0.0292969,1.00299,-5.24995e-05,0.990432,1,0
0.107422,0.00976562,1.00331,-2.50409e-05,0.988423,1,0
0.107422,0.0292969,1.00303,-5.09015e-05,0.988422,1,0
0.0878906,0.0488281,1.00287,-7.20068e-05,0.99043,1,0
0.0878906,0.0683594,1.00279,-9.76194e-05,0.990428,1,0
0.107422,0.0488281,1.00291,-6.97686e-05,0.98842,1,0
0.107422,0.0683594,1.00283,-9.46345e-05,0.988418,1,0
0.126953,0.00976562,1.00333,-2.42111e-05,0.986444,1,0
0.126953,0.0292969,1.00305,-4.89603e-05,0.986443,1,0
0.146484,0.00976562,1.00335,-2.32028e-05,0.984468,1,0
0.146484,0.0292969,1.00306,-4.66752e-05,0.984467,1,0
0.126953,0.0488281,1.00293,-6.71022e-05,0.98644,1,0
0.126953,0.0683594,1.00285,-9.10822e-05,0.986438,1,0
0.146484,0.0488281,1.00295,-6.40183e-05,0.984464,1,0
0.146484,0.0683594,1.00287,-8.69801e-05,0.984461,1,0
0.0878906,0.0878906,1.00274,-0.000120173,0.990425,1,0
0.0878906,0.107422,1.00268,-0.000146269,0.990422,1,0
0.107422,0.0878906,1.00278,-0.000116448,0.988414,1,0
0.107422,0.107422,1.00272,-0.000141793,0.988411,1,0
0.0878906,0.126953,1.00262,-0.00017165,0.990418,1,0
0.0878906,0.146484,1.00254,-0.000199611,0.990414,1,0
0.107422,0.126953,1.00266,-0.00016639,0.988406,1,0
0.107422,0.146484,1.00259,-0.000193549,0.9884,1,0
0.126953,0.0878906,1.0028,-0.000112035,0.986434,1,0
0.126953,0.107422,1.00274,-0.000136492,0.986429,1,0
0.146484,0.0878906,1.00282,-0.000106961,0.984456,1,0
0.146484,0.107422,1.00276,-0.000130398,0.984451,1,0
0.126953,0.126953,1.00268,-0.000160159,0.986424,1,0
0.126953,0.146484,1.00261,-0.000186361,0.986417,1,0
0.146484,0.126953,1.0027,-0.000153001,0.984444,1,0
0.146484,0.146484,1.00263,-0.000178097,0.984437,1,0
0.00976562,0.166016,1.00222,-0.000242079,0.998571,1,0
0.00976562,0.185547,1.00211,-0.000274668,0.998572,1,0
0.0292969,0.166016,1.00248,-0.000241006,0.996165,1,0
0.0292969,0.185547,1.00238,-0.000273482,0.996164,1,0
0.00976562,0.205078,1.00199,-0.000308329,0.998572,1,0
0.00976562,0.224609,1.00185,-0.000344945,0.998573,1,0
0.0292969,0.205078,1.00226,-0.000307035,0.996163,1,0
0.0292969,0.224609,1.00212,-0.000343578,0.996162,1,0
0.0488281,0.166016,1.00245,-0.000238103,0.994311,1,0
0.0488281,0.185547,1.00235,-0.000270256,0.994308,1,0
0.0683594,0.166016,1.00242,-0.000233695,0.992424,1,0
0.0683594,0.185547,1.00232,-0.000265339,0.992419,1,0
0.0488281,0.205078,1.00224,-0.0003035,0.994305,1,0
0.0488281,0.224609,1.0021,-0.000339784,0.994301,1,0
0.0683594,0.205078,1.00221,-0.000298081,0.992415,1,0
0.0683594,0.224609,1.00207,-0.000333903,0.992409,1,0
0.00976562,0.244141,1.00167,-0.000382631,0.998574,1,0
0.00976562,0.263672,1.00145,-0.0004243,0.998574,1,0
0.0292969,0.244141,1.00195,-0.000381229,0.996161,1,0
0.0292969,0.263672,1.00173,-0.000422973,0.996159,1,0
0.00976562,0.283203,1.00111,-0.000466207,0.998576,1,0
0.00976562,0.302734,1.00054,-0.000514038,0.998577,1,0
0.0292969,0.283203,1.00139,-0.000465104,0.996159,1,0
0.0292969,0.302734,1.00082,-0.000513498,0.996158,1,0
0.0488281,0.244141,1.00193,-0.00037725,0.994298,1,0
0.0488281,0.263672,1.00171,-0.000418969,0.994294,1,0
0.0683594,0.244141,1.00191,-0.000370971,0.992404,1,0
0.0683594,0.263672,1.00169,-0.000412428,0.992397,1,0
0.0488281,0.283203,1.00138,-0.000461326,0.99429,1,0
0.0488281,0.302734,1.00081,-0.000510434,0.994287,1,0
0.0683594,0.283203,1.00136,-0.000454725,0.992391,1,0
0.0683594,0.302734,1.0008,-0.000504145,0.992384,1,0
0.0878906,0.166016,1.00246,-0.000228058,0.990409,1,0
0.0878906,0.185547,1.00236,-0.000259022,0.990403,1,0
0.107422,0.166016,1.0025,-0.000221158,0.988394,1,0
0.107422,0.185547,1.00241,-0.00025126,0.988387,1,0
0.0878906,0.205078,1.00225,-0.000291075,0.990397,1,0
0.0878906,0.224609,1.00212,-0.00032622,0.99039,1,0
0.107422,0.205078,1.0023,-0.000282414,0.988379,1,0
0.107422,0.224609,1.00217,-0.000316642,0.988371,1,0
0.126953,0.166016,1.00253,-0.00021296,0.98641,1,0
0.126953,0.185547,1.00244,-0.000242009,0.986401,1,0
0.146484,0.166016,1.00255,-0.000203519,0.984429,1,0
0.146484,0.185547,1.00246,-0.00023133,0.984419,1,0
0.126953,0.205078,1.00233,-0.000272046,0.986392,1,0
0.126953,0.224609,1.0022,-0.000305104,0.986381,1,0
0.146484,0.205078,1.00236,-0.000260038,0.984408,1,0
0.146484,0.224609,1.00223,-0.000291682,0.984395,1,0
0.0878906,0.244141,1.00195,-0.000362632,0.990383,1,0
0.0878906,0.263672,1.00174,-0.000403502,0.990374,1,0
0.107422,0.244141,1.00201,-0.000352106,0.988361,1,0
0.107422,0.263672,1.0018,-0.000392031,0.98835,1,0
0.0878906,0.283203,1.00141,-0.000445299,0.990365,1,0
0.0878906,0.302734,1.00086,-0.000494393,0.990355,1,0
0.107422,0.283203,1.00147,-0.000432861,0.988338,1,0
0.107422,0.302734,1.00092,-0.000481023,0.988325,1,0
0.126953,0.244141,1.00204,-0.00033932,0.986369,1,0
0.126953,0.263672,1.00183,-0.000377937,0.986356,1,0
0.146484,0.244141,1.00207,-0.000324359,0.984382,1,0
0.146484,0.263672,1.00187,-0.000361324,0.984366,1,0
0.126953,0.283203,1.00151,-0.000417349,0.986342,1,0
0.126953,0.302734,1.00097,-0.000464039,0.986325,1,0
0.146484,0.283203,1.00155,-0.000398885,0.984349,1,0
0.146484,0.302734,1.00101,-0.000443587,0.984329,1,0
0.166016,0.00976562,1.00336,-2.20143e-05,0.982487,1,0
0.166016,0.0292969,1.00308,-4.40558e-05,0.982485,1,0
0.185547,0.00976562,1.00338,-2.06465e-05,0.980505,1,0
0.185547,0.0292969,1.0031,-4.11146e-05,0.980503,1,0
0.166016,0.0488281,1.00297,-6.05386e-05,0.982482,1,0
0.166016,0.0683594,1.00289,-8.23584e-05,0.982478,1,0
0.185547,0.0488281,1.00298,-5.66849e-05,0.980499,1,0
0.185547,0.0683594,1.00291,-7.72471e-05,0.980495,1,0
0.205078,0.00976562,1.0034,-1.91022e-05,0.978526,1,0
0.205078,0.0292969,1.00312,-3.78662e-05,0.978523,1,0
0.224609,0.00976562,1.00341,-1.73867e-05,0.976548,1,0
0.224609,0.0292969,1.00314,-3.43296e-05,0.976545,1,0
0.205078,0.0488281,1.003,-5.24818e-05,0.97852,1,0
0.205078,0.0683594,1.00293,-7.16804e-05,0.978515,1,0
0.224609,0.0488281,1.00302,-4.79583e-05,0.976542,1,0
0.224609,0.0683594,1.00295,-6.5699e-05,0.976537,1,0
0.166016,0.0878906,1.00284,-0.000101269,0.982473,1,0
0.166016,0.107422,1.00278,-0.000123566,0.982467,1,0
0.185547,0.0878906,1.00286,-9.5e-05,0.98049,1,0
0.185547,0.107422,1.00281,-0.000116045,0.980483,1,0
0.166016,0.126953,1.00273,-0.000144978,0.98246,1,0
0.166016,0.146484,1.00266,-0.00016883,0.982451,1,0
0.185547,0.126953,1.00275,-0.000136156,0.980475,1,0
0.185547,0.146484,1.00268,-0.000158637,0.980466,1,0
0.205078,0.0878906,1.00288,-8.82017e-05,0.978509,1,0
0.205078,0.107422,1.00283,-0.000107894,0.978502,1,0
0.224609,0.0878906,1.0029,-8.09279e-05,0.97653,1,0
0.224609,0.107422,1.00284,-9.91804e-05,0.976523,1,0
0.205078,0.126953,1.00277,-0.000126606,0.978493,1,0
0.205078,0.146484,1.0027,-0.000147607,0.978484,1,0
0.224609,0.126953,1.00279,-0.000116412,0.976513,1,0
0.224609,0.146484,1.00272,-0.000135838,0.976503,1,0
0.244141,0.00976562,1.00343,-1.55075e-05,0.974572,1,0
0.244141,0.0292969,1.00315,-3.05272e-05,0.974568,1,0
0.263672,0.00976562,1.00344,-1.34743e-05,0.972596,1,0
0.263672,0.0292969,1.00317,-2.64846e-05,0.972593,1,0
0.244141,0.0488281,1.00303,-4.31473e-05,0.974564,1,0
0.244141,0.0683594,1.00296,-5.93482e-05,0.974559,1,0
0.263672,0.0488281,1.00305,-3.80842e-05,0.972588,1,0
0.263672,0.0683594,1.00298,-5.26767e-05,0.972583,1,0
0.283203,0.00976562,1.00345,-1.12987e-05,0.970622,1,0
0.283203,0.0292969,1.00318,-2.22295e-05,0.970618,1,0
0.302734,0.00976562,1.00345,-8.99392e-06,0.968649,1,0
0.302734,0.0292969,1.00319,-1.77914e-05,0.968645,1,0
0.283203,0.0488281,1.00306,-3.28062e-05,0.970614,1,0
0.283203,0.0683594,1.00299,-4.57354e-05,0.970608,1,0
0.302734,0.0488281,1.00307,-2.73517e-05,0.968641,1,0
0.302734,0.0683594,1.003,-3.85764e-05,0.968634,1,0
0.244141,0.0878906,1.00291,-7.32384e-05,0.974552,1,0
0.244141,0.107422,1.00286,-8.99775e-05,0.974544,1,0
0.263672,0.0878906,1.00293,-6.51959e-05,0.972576,1,0
0.263672,0.107422,1.00288,-8.03627e-05,0.972567,1,0
0.244141,0.126953,1.00281,-0.000105664,0.974535,1,0
0.244141,0.146484,1.00274,-0.00012344,0.974523,1,0
0.263672,0.126953,1.00282,-9.44569e-05,0.972557,1,0
0.263672,0.146484,1.00276,-0.000110527,0.972546,1,0
0.283203,0.0878906,1.00294,-5.68654e-05,0.970601,1,0
0.283203,0.107422,1.00289,-7.04155e-05,0.970592,1,0
0.302734,0.0878906,1.00295,-4.83124e-05,0.968627,1,0
0.302734,0.107422,1.0029,-6.02161e-05,0.968618,1,0
0.283203,0.126953,1.00284,-8.28882e-05,0.970581,1,0
0.283203,0.146484,1.00277,-9.72142e-05,0.97057,1,0
0.302734,0.126953,1.00285,-7.10542e-05,0.968607,1,0
0.302734,0.146484,1.00279,-8.36157e-05,0.968595,1,0
0.166016,0.166016,1.00258,-0.000192923,0.982442,1,0
0.166016,0.185547,1.00249,-0.000219325,0.982431,1,0
0.185547,0.166016,1.00261,-0.000181265,0.980455,1,0
0.185547,0.185547,1.00252,-0.000206103,0.980443,1,0
0.166016,0.205078,1.00239,-0.000246509,0.982419,1,0
0.166016,0.224609,1.00226,-0.000276513,0.982405,1,0
0.185547,0.205078,1.00241,-0.000231588,0.98043,1,0
0.185547,0.224609,1.00229,-0.000259753,0.980414,1,0
0.205078,0.166016,1.00263,-0.000168647,0.978472,1,0
0.205078,0.185547,1.00254,-0.000191791,0.978459,1,0
0.224609,0.166016,1.00265,-0.000155193,0.976491,1,0
0.224609,0.185547,1.00256,-0.000176532,0.976477,1,0
0.205078,0.205078,1.00244,-0.000215427,0.978444,1,0
