x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.00212,-2.96312e-05,0.998575,1,0
0.00976562,0.0292969,1.00189,-6.37189e-05,0.998576,1,0
0.0292969,0.00976562,1.00239,-2.9694e-05,0.996179,1,0
0.0292969,0.0292969,1.00215,-6.3617e-05,0.99618,1,0
0.00976562,0.0488281,1.00176,-8.84016e-05,0.998576,1,0
0.00976562,0.0683594,1.00166,-0.00011979,0.998577,1,0
0.0292969,0.0488281,1.00202,-8.80872e-05,0.996179,1,0
0.0292969,0.0683594,1.00192,-0.000119364,0.996179,1,0
0.0488281,0.00976562,1.00235,-2.95539e-05,0.994332,1,0
0.0488281,0.0292969,1.00212,-6.30752e-05,0.994332,1,0
0.0683594,0.00976562,1.00231,-2.92237e-05,0.992452,1,0
0.0683594,0.0292969,1.00208,-6.21301e-05,0.992452,1,0
0.0488281,0.0488281,1.00199,-8.71743e-05,0.994331,1,0
0.0488281,0.0683594,1.00189,-0.00011812,0.99433,1,0
0.0683594,0.0488281,1.00196,-8.5743e-05,0.99245,1,0
0.0683594,0.0683594,1.00186,-0.000116191,0.992449,1,0
0.00976562,0.0878906,1.00158,-0.000148232,0.998577,1,0
0.00976562,0.107422,1.00149,-0.000179879,0.998577,1,0
0.0292969,0.0878906,1.00184,-0.000147645,0.996179,1,0
0.0292969,0.107422,1.00176,-0.000179167,0.996178,1,0
0.00976562,0.126953,1.0014,-0.000211327,0.998578,1,0
0.00976562,0.146484,1.0013,-0.000244957,0.998578,1,0
0.0292969,0.126953,1.00167,-0.000210467,0.996178,1,0
0.0292969,0.146484,1.00156,-0.000243959,0.996177,1,0
0.0488281,0.0878906,1.00181,-0.000146029,0.994329,1,0
0.0488281,0.107422,1.00173,-0.000177204,0.994327,1,0
0.0683594,0.0878906,1.00178,-0.000143568,0.992447,1,0
0.0683594,0.107422,1.00169,-0.00017422,0.992444,1,0
0.0488281,0.126953,1.00164,-0.000208131,0.994325,1,0
0.0488281,0.146484,1.00154,-0.000241254,0.994323,1,0
0.0683594,0.126953,1.00161,-0.000204591,0.992441,1,0
0.0683594,0.146484,1.00151,-0.000237148,0.992438,1,0
0.0878906,0.00976562,1.00235,-2.87499e-05,0.990445,1,0
0.0878906,0.0292969,1.00212,-6.08704e-05,0.990445,1,0
0.107422,0.00976562,1.00239,-2.81303e-05,0.988438,1,0
0.107422,0.0292969,1.00216,-5.92999e-05,0.988438,1,0
0.0878906,0.0488281,1.00199,-8.39028e-05,0.990443,1,0
0.0878906,0.0683594,1.00189,-0.000113721,0.990442,1,0
0.107422,0.0488281,1.00203,-8.16605e-05,0.988436,1,0
0.107422,0.0683594,1.00194,-0.000110714,0.988433,1,0
