x,y,ux,uy,p,cs,f
0.00976562,0.00976562,1.0024,-2.87054e-05,0.998573,1,0
0.00976562,0.0292969,1.00214,-6.10411e-05,0.998574,1,0
0.0292969,0.00976562,1.00266,-2.875e-05,0.996175,1,0
0.0292969,0.0292969,1.00241,-6.0919e-05,0.996176,1,0
0.00976562,0.0488281,1.00202,-8.45329e-05,0.998574,1,0
0.00976562,0.0683594,1.00193,-0.000114561,0.998574,1,0
0.0292969,0.0488281,1.00228,-8.42035e-05,0.996176,1,0
0.0292969,0.0683594,1.00219,-0.000114112,0.996176,1,0
0.0488281,0.00976562,1.00262,-2.85944e-05,0.994329,1,0
0.0488281,0.0292969,1.00237,-6.03533e-05,0.99433,1,0
0.0683594,0.00976562,1.00258,-2.82453e-05,0.992449,1,0
0.0683594,0.0292969,1.00233,-5.93758e-05,0.992449,1,0
0.0488281,0.0488281,1.00225,-8.32619e-05,0.994329,1,0
0.0488281,0.0683594,1.00216,-0.000112828,0.994328,1,0
0.0683594,0.0488281,1.00221,-8.17903e-05,0.992448,1,0
0.0683594,0.0683594,1.00212,-0.000110846,0.992446,1,0
0.00976562,0.0878906,1.00185,-0.000141609,0.998574,1,0
0.00976562,0.107422,1.00178,-0.000171968,0.998575,1,0
0.0292969,0.0878906,1.00212,-0.000140997,0.996175,1,0
0.0292969,0.107422,1.00204,-0.000171226,0.996175,1,0
0.00976562,0.126953,1.0017,-0.000202,0.998575,1,0
0.00976562,0.146484,1.00161,-0.000234327,0.998576,1,0
0.0292969,0.126953,1.00197,-0.000201107,0.996174,1,0
0.0292969,0.146484,1.00188,-0.000233294,0.996173,1,0
0.0488281,0.0878906,1.00209,-0.000139338,0.994326,1,0
0.0488281,0.107422,1.00201,-0.000169214,0.994325,1,0
0.0683594,0.0878906,1.00205,-0.000136819,0.992444,1,0
0.0683594,0.107422,1.00198,-0.000166166,0.992442,1,0
0.0488281,0.126953,1.00194,-0.000198719,0.994322,1,0
0.0488281,0.146484,1.00185,-0.000230532,0.99432,1,0
0.0683594,0.126953,1.0019,-0.00019511,0.992438,1,0
0.0683594,0.146484,1.00182,-0.000226354,0.992435,1,0
0.0878906,0.00976562,1.00262,-2.77438e-05,0.990442,1,0
0.0878906,0.0292969,1.00237,-5.8069e-05,0.990442,1,0
0.107422,0.00976562,1.00266,-2.70873e-05,0.988434,1,0
0.107422,0.0292969,1.00241,-5.64363e-05,0.988434,1,0
0.0878906,0.0488281,1.00225,-7.98957e-05,0.99044,1,0
0.0878906,0.0683594,1.00215,-0.000108307,0.990438,1,0
0.107422,0.0488281,1.00229,-7.7583e-05,0.988432,1,0
0.107422,0.0683594,1.0022,-0.00010521,0.988429,1,0
0.126953,0.00976562,1.00268,-2.62633e-05,0.986457,1,0
0.126953,0.0292969,1.00243,-5.44638e-05,0.986456,1,0
0.146484,0.00976562,1.0027,-2.52673e-05,0.984483,1,0
0.146484,0.0292969,1.00245,-5.21568e-05,0.984482,1,0
0.126953,0.0488281,1.00231,-7.4843e-05,0.986454,1,0
0.126953,0.0683594,1.00222,-0.000101546,0.986451,1,0
0.146484,0.0488281,1.00233,-7.1694e-05,0.984479,1,0
0.146484,0.0683594,1.00224,-9.7341e-05,0.984475,1,0
0.0878906,0.0878906,1.00209,-0.000133613,0.990435,1,0
0.0878906,0.107422,1.00201,-0.00016229,0.990432,1,0
0.107422,0.0878906,1.00213,-0.00012972,0.988426,1,0
0.107422,0.107422,1.00206,-0.000157586,0.988422,1,0
0.0878906,0.126953,1.00194,-0.000190523,0.990428,1,0
0.0878906,0.146484,1.00186,-0.000221034,0.990423,1,0
0.107422,0.126953,1.00199,-0.000184954,0.988417,1,0
0.107422,0.146484,1.0019,-0.000214567,0.988411,1,0
0.126953,0.0878906,1.00215,-0.000125133,0.986447,1,0
0.126953,0.107422,1.00208,-0.000152045,0.986442,1,0
0.146484,0.0878906,1.00217,-0.000119894,0.984471,1,0
0.146484,0.107422,1.00211,-0.00014572,0.984465,1,0
0.126953,0.126953,1.00201,-0.000178396,0.986436,1,0
0.126953,0.146484,1.00193,-0.000206945,0.986429,1,0
0.146484,0.126953,1.00204,-0.000170914,0.984459,1,0
0.146484,0.146484,1.00195,-0.000198246,0.984451,1,0
0.00976562,0.166016,1.00151,-0.000267581,0.998576,1,0
0.00976562,0.185547,1.00139,-0.00030302,0.998577,1,0
0.0292969,0.166016,1.00178,-0.000266398,0.996172,1,0
0.0292969,0.185547,1.00166,-0.000301695,0.996171,1,0
0.00976562,0.205078,1.00125,-0.000340055,0.998577,1,0
0.00976562,0.224609,1.00107,-0.00037958,0.998578,1,0
0.0292969,0.205078,1.00152,-0.000338595,0.99617,1,0
0.0292969,0.224609,1.00135,-0.000378021,0.996169,1,0
0.0488281,0.166016,1.00175,-0.000263247,0.994317,1,0
0.0488281,0.185547,1.00164,-0.000298161,0.994314,1,0
0.0683594,0.166016,1.00172,-0.000258476,0.992431,1,0
0.0683594,0.185547,1.00161,-0.000292785,0.992426,1,0
0.0488281,0.205078,1.0015,-0.000334686,0.99431,1,0
0.0488281,0.224609,1.00133,-0.000373781,0.994306,1,0
0.0683594,0.205078,1.00147,-0.000328698,0.99242,1,0
0.0683594,0.224609,1.00131,-0.000367199,0.992414,1,0
0.00976562,0.244141,1.00082,-0.000421022,0.998579,1,0
0.00976562,0.263672,1.00042,-0.000465544,0.998579,1,0
0.0292969,0.244141,1.0011,-0.000419419,0.996167,1,0
0.0292969,0.263672,1.0007,-0.000464027,0.996166,1,0
0.00976562,0.283203,0.999698,-0.000511802,0.99858,1,0
0.00976562,0.302734,0.998302,-0.000562066,0.998582,1,0
0.0292969,0.283203,0.99998,-0.000510581,0.996165,1,0
0.0292969,0.302734,0.998587,-0.000561558,0.996164,1,0
0.0488281,0.244141,1.00109,-0.00041493,0.994302,1,0
0.0488281,0.263672,1.00069,-0.000459464,0.994297,1,0
0.0683594,0.244141,1.00106,-0.000407797,0.992408,1,0
0.0683594,0.263672,1.00067,-0.000451886,0.9924,1,0
0.0488281,0.283203,0.999972,-0.00050624,0.994293,1,0
0.0488281,0.302734,0.998582,-0.000557983,0.994289,1,0
0.0683594,0.283203,0.999957,-0.000498393,0.992393,1,0
0.0683594,0.302734,0.998571,-0.000550185,0.992385,1,0
0.0878906,0.166016,1.00176,-0.000252382,0.990418,1,0
0.0878906,0.185547,1.00165,-0.000285886,0.990412,1,0
0.107422,0.166016,1.00181,-0.000244955,0.988405,1,0
0.107422,0.185547,1.0017,-0.000277446,0.988397,1,0
0.0878906,0.205078,1.00152,-0.000320955,0.990405,1,0
0.0878906,0.224609,1.00135,-0.000358587,0.990397,1,0
0.107422,0.205078,1.00157,-0.00031143,0.988388,1,0
0.107422,0.224609,1.00141,-0.000347907,0.988379,1,0
0.126953,0.166016,1.00184,-0.000236188,0.986422,1,0
0.126953,0.185547,1.00173,-0.000267458,0.986413,1,0
0.146484,0.166016,1.00186,-0.000226173,0.984442,1,0
0.146484,0.185547,1.00176,-0.000256028,0.984432,1,0
0.126953,0.205078,1.00161,-0.000300116,0.986402,1,0
0.126953,0.224609,1.00144,-0.000335159,0.986391,1,0
0.146484,0.205078,1.00163,-0.000287139,0.98442,1,0
0.146484,0.224609,1.00147,-0.00032049,0.984406,1,0
0.0878906,0.244141,1.00111,-0.000398292,0.990388,1,0
0.0878906,0.263672,1.00072,-0.000441491,0.990378,1,0
0.107422,0.244141,1.00117,-0.00038637,0.988368,1,0
0.107422,0.263672,1.00078,-0.000428245,0.988355,1,0
0.0878906,0.283203,1.00001,-0.000487111,0.990368,1,0
0.0878906,0.302734,0.998632,-0.00053806,0.990356,1,0
0.107422,0.283203,1.00008,-0.000472421,0.988341,1,0
0.107422,0.302734,0.998699,-0.000521814,0.988326,1,0
0.126953,0.244141,1.00121,-0.000372047,0.986377,1,0
0.126953,0.263672,1.00083,-0.000412196,0.986362,1,0
0.146484,0.244141,1.00124,-0.000355496,0.984391,1,0
0.146484,0.263672,1.00086,-0.000393554,0.984374,1,0
0.126953,0.283203,1.00012,-0.000454434,0.986346,1,0
0.126953,0.302734,0.998748,-0.00050168,0.986327,1,0
0.146484,0.283203,1.00016,-0.000433402,0.984355,1,0
0.146484,0.302734,0.998792,-0.000477956,0.984332,1,0
0.166016,0.00976562,1.00272,-2.41012e-05,0.982503,1,0
0.166016,0.0292969,1.00248,-4.95316e-05,0.982501,1,0
0.185547,0.00976562,1.00274,-2.27693e-05,0.980523,1,0
0.185547,0.0292969,1.0025,-4.66074e-05,0.980521,1,0
0.166016,0.0488281,1.00235,-6.81665e-05,0.982498,1,0
0.166016,0.0683594,1.00226,-9.26382e-05,0.982494,1,0
0.185547,0.0488281,1.00237,-6.42912e-05,0.980518,1,0
0.185547,0.0683594,1.00229,-8.74794e-05,0.980514,1,0
0.205078,0.00976562,1.00276,-2.12783e-05,0.978546,1,0
0.205078,0.0292969,1.00252,-4.34061e-05,0.978543,1,0
0.224609,0.00976562,1.00277,-1.96374e-05,0.97657,1,0
0.224609,0.0292969,1.00254,-3.99539e-05,0.976567,1,0
0.205078,0.0488281,1.00239,-6.01012e-05,0.97854,1,0
0.205078,0.0683594,1.00231,-8.19108e-05,0.978535,1,0
0.224609,0.0488281,1.00241,-5.56341e-05,0.976563,1,0
0.224609,0.0683594,1.00233,-7.59841e-05,0.976559,1,0
0.166016,0.0878906,1.0022,-0.00011406,0.982489,1,0
0.166016,0.107422,1.00213,-0.000138681,0.982483,1,0
0.185547,0.0878906,1.00222,-0.000107688,0.980508,1,0
0.185547,0.107422,1.00216,-0.000131,0.980501,1,0
0.166016,0.126953,1.00206,-0.000162597,0.982476,1,0
0.166016,0.146484,1.00198,-0.000188575,0.982467,1,0
0.185547,0.126953,1.00209,-0.000153531,0.980493,1,0
0.185547,0.146484,1.00201,-0.000178039,0.980484,1,0
0.205078,0.0878906,1.00224,-0.000100839,0.978529,1,0
0.205078,0.107422,1.00218,-0.000122753,0.978522,1,0
0.224609,0.0878906,1.00226,-9.35825e-05,0.976552,1,0
0.224609,0.107422,1.0022,-0.000114025,0.976545,1,0
0.205078,0.126953,1.00211,-0.000143813,0.978513,1,0
0.205078,0.146484,1.00203,-0.000166751,0.978503,1,0
0.224609,0.126953,1.00213,-0.000133546,0.976535,1,0
0.224609,0.146484,1.00205,-0.00015484,0.976525,1,0
0.244141,0.00976562,1.00279,-1.78582e-05,0.974595,1,0
0.244141,0.0292969,1.00255,-3.62801e-05,0.974592,1,0
0.263672,0.00976562,1.0028,-1.59545e-05,0.972621,1,0
0.263672,0.0292969,1.00257,-3.24166e-05,0.972618,1,0
0.244141,0.0488281,1.00243,-5.09306e-05,0.974588,1,0
0.244141,0.0683594,1.00235,-6.97553e-05,0.974583,1,0
0.263672,0.0488281,1.00245,-4.60331e-05,0.972614,1,0
0.263672,0.0683594,1.00236,-6.32821e-05,0.972608,1,0
